number of APIs only in Python-3.3.0 : 115
number of APIs only in Python-3.2 : 76
number of APIs both have, but different : 2
number of APIs both have, and the same : 585
                       Python-3.3.0                                                  Python-3.2                         
                             -                               PyObject *,PyUnicodeUCS2_DecodeASCII(const char *,Py_ssize_t,const char *)
                             -                               PyObject *,PyUnicodeUCS2_DecodeCharmap(const char *,Py_ssize_t,PyObject *,const char *)
                             -                                 PyObject *,PyUnicodeUCS2_DecodeFSDefault(const char *)   
                             -                               PyObject *,PyUnicodeUCS2_DecodeFSDefaultAndSize(const char *,Py_ssize_t)
                             -                               PyObject *,PyUnicodeUCS2_DecodeLatin1(const char *,Py_ssize_t,const char *)
                             -                               PyObject *,PyUnicodeUCS2_DecodeRawUnicodeEscape(const char *,Py_ssize_t,const char *)
                             -                               PyObject *,PyUnicodeUCS2_DecodeUTF16(const char *,Py_ssize_t,const char *,int *)
                             -                               PyObject *,PyUnicodeUCS2_DecodeUTF16Stateful(const char *,Py_ssize_t,const char *,int *,Py_ssize_t *)
                             -                               PyObject *,PyUnicodeUCS2_DecodeUTF32(const char *,Py_ssize_t,const char *,int *)
                             -                               PyObject *,PyUnicodeUCS2_DecodeUTF32Stateful(const char *,Py_ssize_t,const char *,int *,Py_ssize_t *)
                             -                               PyObject *,PyUnicodeUCS2_DecodeUTF8(const char *,Py_ssize_t,const char *)
                             -                               PyObject *,PyUnicodeUCS2_DecodeUTF8Stateful(const char *,Py_ssize_t,const char *,Py_ssize_t *)
                             -                               PyObject *,PyUnicodeUCS2_DecodeUnicodeEscape(const char *,Py_ssize_t,const char *)
                             -                               PyObject *,PyUnicodeUCS2_Encode(const Py_UNICODE *,Py_ssize_t,const char *,const char *)
                             -                               PyObject *,PyUnicodeUCS2_EncodeASCII(const Py_UNICODE *,Py_ssize_t,const char *)
                             -                               PyObject *,PyUnicodeUCS2_EncodeCharmap(const Py_UNICODE *,Py_ssize_t,PyObject *,const char *)
                             -                               int,PyUnicodeUCS2_EncodeDecimal(Py_UNICODE *,Py_ssize_t,char *,const char *)
                             -                               PyObject *,PyUnicodeUCS2_EncodeLatin1(const Py_UNICODE *,Py_ssize_t,const char *)
                             -                               PyObject *,PyUnicodeUCS2_EncodeRawUnicodeEscape(const Py_UNICODE *,Py_ssize_t)
                             -                               PyObject *,PyUnicodeUCS2_EncodeUTF16(const Py_UNICODE *,Py_ssize_t,const char *,int)
                             -                               PyObject *,PyUnicodeUCS2_EncodeUTF32(const Py_UNICODE *,Py_ssize_t,const char *,int)
                             -                               PyObject *,PyUnicodeUCS2_EncodeUTF8(const Py_UNICODE *,Py_ssize_t,const char *)
                             -                               PyObject *,PyUnicodeUCS2_EncodeUnicodeEscape(const Py_UNICODE *,Py_ssize_t)
                             -                                    int,PyUnicodeUCS2_FSConverter(PyObject *,void *)      
                             -                                     int,PyUnicodeUCS2_FSDecoder(PyObject *,void *)       
                             -                               Py_ssize_t,PyUnicodeUCS2_Find(PyObject *,PyObject *,Py_ssize_t,Py_ssize_t,int)
                             -                                 PyObject *,PyUnicodeUCS2_Format(PyObject *,PyObject *)   
                             -                               PyObject *,PyUnicodeUCS2_FromEncodedObject(PyObject *,const char *,const char *)
                             -                                    PyObject *,PyUnicodeUCS2_FromFormat(const char *)     
                             -                               PyObject *,PyUnicodeUCS2_FromFormatV(const char *,va_list) 
                             -                                     PyObject *,PyUnicodeUCS2_FromObject(PyObject *)      
                             -                                        PyObject *,PyUnicodeUCS2_FromOrdinal(int)         
                             -                                    PyObject *,PyUnicodeUCS2_FromString(const char *)     
                             -                               PyObject *,PyUnicodeUCS2_FromStringAndSize(const char *,Py_ssize_t)
                             -                               PyObject *,PyUnicodeUCS2_FromUnicode(const Py_UNICODE *,Py_ssize_t)
                             -                                     const char *,PyUnicodeUCS2_GetDefaultEncoding()      
